,user_id,condition,age,gender,edu_lvl,edu_lvl_desc,field,field_desc,exp1,exp2,exp3,exp4,exp5,exp6,train_success,avg_train_diff,flow_score,ncs_score,effort_score,difficulty_score,performance_score,flow1,flow2,flow3,flow4,flow5,flow6,flow7,flow8,flow9,flow10,ncs1,ncs2,ncs3,ncs4,ncs5,ncs6,comment
25,self-det:29,self-det,39,m,3,Bachelor's Degree,p6,Professions - Engineering and technology,5,5,6,5,5,5,9,47.050110217907424,6.0,3.2,11,12,15,6,6,6,6,6,6,6,6,6,6,4,4,2,2,4,4,"OK, OK"
76,dda:30,dda,20,f,2,High School,na,Not applicable,2,3,5,5,5,5,7,58.20561213520133,4.2,3.0,5,12,17,6,5,3,3,5,6,5,4,3,2,4,4,4,2,4,4,"I think if had more time I would be able to solve most of the ones that I didn't solve , I felt joy when I completed them successfully, but irritation when the time run out and I knew I failed   "
60,dda:9,dda,27,f,3,Bachelor's Degree,p3,Professions - Business,4,5,7,7,1,6,8,54.73433783436196,4.9,3.1,19,17,11,6,7,4,1,7,5,7,7,4,1,3,4,2,3,3,3,"The puzzled were difficult with very little time given to solve them, I felt anxious"
21,self-det:25,self-det,37,m,3,Bachelor's Degree,p6,Professions - Engineering and technology,1,6,7,7,5,7,6,80.40905131174378,6.2,3.4,16,18,9,7,5,7,6,5,7,6,6,6,7,4,5,1,1,5,5,"It was very difficult; I had to fully concentrate., I felt happy since I like puzzles."
41,static-inc:19,static-inc,21,m,2,High School,p8,Professions - Journalism and media,2,7,7,5,2,7,3,58.4972840560701,5.0,3.3,11,6,4,6,5,7,5,5,5,5,5,5,2,4,4,2,1,5,4,", "
1,self-det:2,self-det,25,f,4,Master's Degree,ns1,Natural Sciences - Biology,2,4,6,4,2,5,6,58.813135097523734,4.1,3.1,6,12,6,4,5,7,2,3,4,3,5,4,4,2,3,2,3,3,3,"the difficulty level was intermediate , somewhat rushed"
42,static-inc:20,static-inc,24,m,3,Bachelor's Degree,ns3,Natural Sciences - Computer science,4,6,7,4,6,7,2,58.47376032511904,5.6,3.2,6,16,14,7,4,6,7,7,5,4,4,6,6,5,5,2,2,5,5,"It needed someone who is fully focused., It was a good challenge for me, it needed some concentration. I was excited about being challenged."
19,self-det:23,self-det,33,m,2,High School,p3,Professions - Business,1,6,6,5,2,7,7,73.49509586057361,6.3,3.2,13,8,14,6,6,7,7,7,7,4,7,6,6,4,3,2,2,3,4,"Whenever I failed a puzzle I was always surprised. I would have liked to see what I did wrong., Very concentrated on the task/puzzle."
61,dda:11,dda,20,m,2,High School,ss7,Social Sciences - Organizational studies,2,1,6,6,1,7,7,65.79697849921602,5.7,3.3,14,13,17,7,3,7,7,6,7,6,7,5,2,4,3,2,1,4,2,"Training was pretty difficult but later it was easy for me to solve easier puzzles, i felt concentrated and motivated to provide best results"
11,self-det:12,self-det,25,f,3,Bachelor's Degree,p3,Professions - Business,6,7,4,6,4,2,3,66.06785326166,6.2,3.4,12,13,10,7,7,7,7,7,7,7,6,6,1,5,5,1,1,5,5,", "
77,dda:31,dda,47,m,4,Master's Degree,p6,Professions - Engineering and technology,3,5,6,6,5,6,8,56.228612321505096,6.1,3.1,17,13,5,7,6,6,6,6,6,6,7,6,5,3,4,2,3,4,3,"troch trudne zadania, cakiem dobrze i skupiony"
0,self-det:1,self-det,36,m,4,Master's Degree,ns3,Natural Sciences - Computer science,1,5,5,3,5,5,3,55.58445460929597,4.3,3.4,20,13,9,4,3,7,6,2,7,3,3,3,5,4,4,1,1,4,3,"training was fun, it helps to improve ability of solving puzzles, the lines and dots for over 7 selections confused my vision, i could hardly spot my choices were wrong (noticing 2 dots connected by a line), "
13,self-det:14,self-det,20,m,1,Below High School,ns3,Natural Sciences - Computer science,4,5,7,5,5,7,4,84.05453640718254,3.8,2.8,7,13,15,7,1,7,2,3,5,4,4,1,4,5,4,3,5,5,3,"i just can't do this, i don't even know why. It was a little too hard for me, maybe it is becouse i was sleeping badly last night, I mean, i was tired. I don't know why but i was very tired, on other hand the puzzles were really great."
35,static-inc:12,static-inc,30,m,3,Bachelor's Degree,p3,Professions - Business,1,1,7,4,1,7,2,58.35847281149378,3.8,3.1,16,20,13,2,4,7,4,5,3,3,2,4,4,1,3,2,3,1,2,"Some require a high level of concentration, Felt emerged in the game"
16,self-det:18,self-det,25,m,3,Bachelor's Degree,ns1,Natural Sciences - Biology,5,4,4,5,4,5,7,58.127408820697944,4.6,3.2,14,10,2,5,5,5,5,5,5,5,4,5,2,4,3,2,2,4,4,"IIt was a difficult but very interesting type of exercise, concentrated"
10,self-det:11,self-det,38,f,3,Bachelor's Degree,p3,Professions - Business,2,5,5,2,2,2,6,65.53980812169152,3.9,3.2,13,10,14,4,3,4,3,2,4,4,5,5,5,4,4,2,2,4,3,", "
30,static-inc:5,static-inc,37,m,4,Master's Degree,p12,Professions - Public policy,2,2,5,5,2,6,7,58.397594240013525,4.3,3.1,15,14,12,5,4,6,5,5,2,5,5,4,2,2,4,3,2,4,3,"Most of the time the solution was so near and then bamm wrong, I liked the puzless"
73,dda:27,dda,20,m,3,Bachelor's Degree,ns3,Natural Sciences - Computer science,1,5,5,7,6,7,6,54.5710195332868,6.4,3.1,13,13,13,7,7,7,7,6,7,6,6,6,5,5,2,2,3,4,3,"I really thought it was easy at the start, but it started getting more difficult eventually, I felt concentrated and absorbed while getting through them"
18,self-det:22,self-det,26,m,3,Bachelor's Degree,p1,Professions - Agriculture,5,4,6,6,2,5,7,65.24285578256153,5.2,3.2,8,11,5,6,6,3,3,5,5,6,7,7,4,4,4,2,2,5,4,"it was fine, and the option to change difficulty was great, it was an interesting experience"
49,static-inc:28,static-inc,21,f,3,Bachelor's Degree,ss1,Social Sciences - Economics,2,4,4,4,2,4,8,58.40405149889215,5.5,3.0,5,3,12,6,6,5,6,6,6,6,6,6,2,5,4,4,2,4,4,"The task was ok, I liked the fact that we couldn't see time, otherwise I would have been pressured, I felt calm and i wasn't destracted, which is surprising since usually my mind has a lot of thoughts all at the same time and usually I struggle with concentration"
8,self-det:9,self-det,34,f,7,Prefer not to answer,na,Not applicable,5,7,7,6,5,4,4,45.95973792686352,3.4,3.1,20,17,16,3,2,1,4,5,5,6,3,3,2,3,3,4,1,4,4,"Complex and little time allocated, Stressed because time went by fast. I would like to take another shot."
64,dda:17,dda,20,m,2,High School,ns3,Natural Sciences - Computer science,2,6,6,5,6,7,6,55.8543592838771,4.5,3.2,14,15,10,6,3,7,5,4,5,5,2,3,5,4,2,2,2,4,4,"It seemed impossible at times, and the time was also a factor that was lingering in my head, I felt concentrated and determined, but sometimes annoyed because it seemed like the puzzles are just impossible"
39,static-inc:16,static-inc,20,m,3,Bachelor's Degree,ns5,Natural Sciences - Mathematics,1,4,4,5,4,5,3,58.46692935928984,3.1,3.2,9,14,16,4,2,3,4,4,5,3,2,2,2,3,3,2,2,3,3,", "
43,static-inc:21,static-inc,22,m,2,High School,h10,Humanities - Visual arts,1,3,5,6,4,5,11,58.44055198125758,5.4,3.1,9,7,17,6,6,5,6,6,6,5,6,6,2,3,4,2,3,4,4,"it was ok to be honest few times more challenging one appeard, Sometimes confused but overall open minded and with huge self awareness to do the puzzle"
38,static-inc:15,static-inc,39,f,4,Master's Degree,p3,Professions - Business,1,5,5,5,1,3,5,58.424704416027566,5.5,3.2,12,14,10,2,5,7,7,7,7,5,2,6,7,3,3,2,2,4,4,"The training puzzles were much easier, annoyed that I could not solve more"
45,static-inc:23,static-inc,20,m,2,High School,na,Not applicable,1,1,4,7,1,3,5,58.35174502301215,4.6,2.7,13,15,13,4,7,4,2,4,5,4,7,7,2,3,2,4,5,3,1,"difficult for me to concentrate, it's not the puzzles fault., nervous, rushed."
